Timestamp;Longitude;Latitude;HorizontalAccuracy;Altitude;VerticalAccuracy;Bearing;BearingAccuracy;Speed;SpeedAccuracy
1649338664000;10,42207715;43,71866719;7,326285362;48,76635742;7,172467709;318,2000122;34,22514725;1,529999971;1,004987597
1649338669000;10,42201069;43,71872511;5,311824799;51,73895264;5,78953743;335,5;27,80471039;1,49000001;0,878635287
1649338674000;10,42195159;43,7187698;4,601776123;55,90844727;5,082731724;314,1000061;36,18122864;1,429999948;0,999849975
1649338679000;10,42190337;43,71882898;5,883006096;53,5456543;5,916945934;330,2000122;34,39175797;1,50999999;0,99126184
1649338684000;10,42187285;43,71890664;6,051030159;60,574646;7,115625381;315,1000061;27,95740318;1,460000038;0,884590328
1649338689000;10,42180918;43,71895734;6,889380455;61,99639893;7,829241753;303,7999878;38,29420853;1,480000019;1,145469308
1649338694000;10,42176479;43,71899419;6,095581532;56,98529053;7,229740143;256,1000061;26,34300041;1,450000048;0,821340382
1649338700000;10,42165207;43,71895286;8,947433472;49,64733887;10,39953899;267,2000122;36,60875702;1,399999976;1,058017015
1649338707000;10,42153559;43,71888331;7,147684097;54,50909424;8,24994278;236,6000061;19,47990036;2,349999905;0,880056798
1649338712000;10,42151777;43,7188081;6,334794998;53,00628662;6,281015873;155,8000031;22,39184761;2,039999962;0,854400396
1649338722000;10,42170635;43,7186817;7,089365959;69,70770264;8,576992035;136,3999939;35,82423019;1,429999948;1,044030666
1649338727000;10,42180164;43,71861557;5,328045845;71,86743164;6,846363068;141,8000031;34,56098557;1,50999999;1,060188651
1649338732000;10,42177922;43,71850913;4,681182384;68,62963867;5,378373146;201,3000031;32,73645401;1,529999971;0,99624294
1649338741000;10,42166379;43,71841604;8,620163918;59,85888672;9,367020607;233,1999969;34,97856903;1,49000001;0,999849975
1649338746000;10,42149258;43,71844289;7,638651848;61,4395752;8,140099525;300,2999878;20,90602493;2,630000114;1,042928576
1649338751000;10,42136895;43,71849574;8,571359634;59,71289063;8,765282631;314,7999878;42,30885315;1,440000057;1,219385147
1649338756000;10,42126595;43,7185445;7,347577572;56,31091309;8,854945183;285,6000061;28,72305298;1,440000057;0,933380961
1649338761000;10,42115095;43,71859438;7,333790302;47,61743164;8,848073006;264;19,62396049;2,799999952;1,017889977
1649338767000;10,42101857;43,7185808;10,17076206;48,59503174;10,99905968;227,3999939;35,00693893;1,409999967;1,008017898
1649338772000;10,42101739;43,71855301;9,764291763;51,90588379;12,00305939;201,5;27,04271507;1,830000043;0,951314867
1649338777000;10,4209805;43,71849816;5,775013924;53,49127197;6,971208096;206,1999969;28,98002434;1,519999981;0,840595007
1649338782000;10,42103567;43,71842492;3,97719717;53,43804932;3,865092278;153,8999939;26,33355522;1,700000048;0,840595007
1649338791000;10,42122584;43,71835948;5,670466423;52,73803711;4,662522793;141,3000031;39,43996048;1,610000014;1,221883774
